ai_score,sector,acronym,name,umr_label,type,city,parent_company,tutelles,domain,year_created,website
100,public,LISN,Laboratoire Interdisciplinaire des Sciences du Numérique,UMR 9015,Unité mixte,Gif sur Yvette,,"CNRS,U PARIS-SACLAY,INRIA,CENTRALESUPELEC","Sciences pour l'ingénieur,STIC",2021,http://www.lisn.upsaclay.fr
100,public,LIRMM,"Laboratoire d'Informatique, de Robotique et de Microélectronique de Montpellier",UMR 5506,Unité mixte,MONTPELLIER CEDEX 5,,"PERPIGNAN,CNRS,INRIA,MONTPELLIER,UMPV","Sciences de la société,Sciences pour l'ingénieur,Sciences et technologies de l'i",1995,http://www.lirmm.fr/
100,public,LS2N,Laboratoire des Sciences du Numérique de Nantes,UMR 6004,Unité mixte,Nantes Cedex 3,,"EC. CENTRALE NANTES,CNRS,IMT Atlantique,Nantes Université,INRIA",Sciences et technologies de l'information et de la communication,2017,http://ls2n.fr/
100,public,MAASAI,Modèles et algorithmes pour l’intelligence artificielle,,Unité propre,Sophia Antipolis,,"INRIA,UniCA",Sciences et technologies de l'information et de la communication,2020,http://www.inria.fr/equipes/maasai
100,public,ACENTAURI,•	Intelligence artificielle et algorithmes efficaces pour la robotique autonome,,Unité propre,Sophia Antipolis,,INRIA,Sciences et technologies de l'information et de la communication,2021,https://www.inria.fr/fr/acentauri
95,public,IRISA,Institut de Recherche en Informatique et Systèmes Aléatoires,UMR 6074,Unité mixte,RENNES CEDEX,,"INSA RENNES,BRETAGNE-SUD,CNRS,INRIA,ENS RENNES,CENTRALESUPELEC,MinesTélécom,IMT Atlantique,RENNES","Biologie, médecine et santé,Sciences et technologies de l'information et de la c",2000,http://www.irisa.fr
95,public,LIASD,LABORATOIRE D'INTELLIGENCE ARTIFICIELLE ET SÉMANTIQUE DES DONNÉES,EA 4383,Unité propre,SAINT-DENIS,,PARIS 8,Sciences et technologies de l'information et de la communication,2009,https://www.univ-paris8.fr/UR-Laboratoire-d-Intelligence-Artificielle-et-Semantique-des-Donnees-LIAS...
90,private,MSFT-Inria,Centre Microsoft Recherche-Inria,,Private R&D Lab,Saclay,Microsoft,Microsoft,,2006,
90,private,XRCE,Centre de Recherche Europe de Xerox (now Naver),,Private R&D Lab,Meylan,Naver Labs Europe,Naver Labs Europe,,2017,
90,private,Criteo AI Lab,Criteo AI Lab,,Private R&D Lab,Paris,Criteo,Criteo,,2015,
90,private,FAIR Paris,Facebook AI Research Paris,,Private R&D Lab,Paris,Meta,Meta,,2015,
90,private,Factolab,Factolab,,Private R&D Lab,Clermont-Ferrand,Michelin,Michelin,,2017,
90,private,Fujitsu AI Lab,Fujitsu AI Research Center,,Private R&D Lab,Paris,Fujitsu,Fujitsu,,2019,
90,private,Google Brain Paris,Google Brain / DeepMind Paris,,Private R&D Lab,Paris,Alphabet (Google),Alphabet (Google),,2018,
90,private,Kyutai,Kyutai,,Private R&D Lab,Paris,Kyutai (Niel/Saadé/Schmidt),Kyutai (Niel/Saadé/Schmidt),,2023,
90,private,CSL Sony,Laboratoire scientifique Sony Computer,,Private R&D Lab,Paris,Sony,Sony,,2006,
90,private,Huawei MASL,Mathematical and Algorithmic Sciences Lab,,Private R&D Lab,Boulogne-Billancourt,Huawei Technologies,Huawei Technologies,,2016,
90,private,Mistral AI Lab,Mistral AI Research,,Private R&D Lab,Paris,Mistral AI,Mistral AI,,2023,
90,private,Orange Labs,Orange Labs,,Private R&D Lab,Chatillon,Orange,Orange,,2007,
90,private,RIT Paris,Rakuten Institute of Technology Paris,,Private R&D Lab,Paris,Rakuten,Rakuten,,2014,
90,private,Samsung AI Paris,Samsung AI Center Paris,,Private R&D Lab,Paris,Samsung,Samsung,,2018,
90,private,Uber AI Paris,Uber AI Labs Paris,,Private R&D Lab,Paris,Uber,Uber,,2019,
85,public,IRIF,Institut de Recherche en Informatique Fondamentale,UMR 8243,Unité mixte,Paris,,"CNRS,U PARIS Cité,INRIA","Mathématiques et leurs interactions,Sciences et technologies de l'information et",2016,https://www.irif.fr/
85,public,LaBRI,Laboratoire Bordelais de Recherche en Informatique,UMR 5800,Unité mixte,TALENCE CEDEX,,"CNRS,Bordeaux INP,BORDEAUX,INRIA","Mathématiques et leurs interactions,Biologie, médecine et santé,Sciences et tech",1997,http://www.labri.fr/
85,public,LIX,Laboratoire d'Informatique de l'Ecole Polytechnique,UMR 7161,Unité mixte,Palaiseau Cedex,,"EC. POLYTECHNIQUE,CNRS,IP PARIS,INRIA","Mathématiques et leurs interactions,Sciences pour l'ingénieur,Sciences et techno",2005,http://www.lix.polytechnique.fr/
85,public,LIP,Laboratoire d'Informatique du Parallélisme,UMR 5668,Unité mixte,LYON CEDEX 07,,"LYON 1,CNRS,INRIA,ENS LYON","Mathématiques et leurs interactions,Sciences et technologies de l'information et",1999,http://www.ens-lyon.fr/LIP/
85,public,I3S,"Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis",UMR 7271,Unité mixte,SOPHIA ANTIPOLIS CEDEX - VALBONNE,,"CNRS,UniCA,INRIA","Mathématiques et leurs interactions,Sciences et technologies de l'information et",2012,https://univ-cotedazur.fr/laboratoires/laboratoire-dinformatique-signaux-et-syste%CC%80mes-de-sophia...
80,public,DI ENS,Département d'Informatique de l'Ecole Normale Supérieure,UMR 8548,Unité mixte,PARIS CEDEX 05,,"ENS PARIS,CNRS,INRIA,PSL",Sciences et technologies de l'information et de la communication,1998,http://www.di.ens.fr
80,public,ETIS,Equipes Traitement de l'Information et Systèmes,UMR 8051,Unité mixte,CERGY PONTOISE CEDEX - CERGY,,"ENSEA CERGY,CNRS,CY CERGY",Sciences et technologies de l'information et de la communication,2002,http://www-etis.ensea.fr
80,public,IRIT,Institut de Recherche en Informatique de Toulouse,UMR 5505,Unité mixte,TOULOUSE CEDEX 9,,"INP TOULOUSE,TOULOUSE 2,CNRS,UT Capitole,UT,INRIA",Sciences et technologies de l'information et de la communication,1995,http://www.irit.fr/
80,public,LAMIH,"Laboratoire d'Automatique, de Mécanique et d'Informatique Industrielles et Humaines",UMR 8201,Unité mixte,VALENCIENNES CEDEX 9,,"CNRS,UPHF","Physique,Sciences humaines et humanités,Sciences pour l'ingénieur,Sciences et te",2012,http://www.univ-valenciennes.fr/LAMIH/
80,public,LIGM,Laboratoire d'Informatique Gaspard-Monge,UMR 8049,Unité mixte,MARNE LA VALLEE CEDEX 2 - CHAMPS SUR MARNE,,"ENPC PARIS,ESIEE MARNE,CNRS,UNIV.G.EIFFEL",Sciences et technologies de l'information et de la communication,2002,https://ligm.univ-eiffel.fr/
80,public,LIG,Laboratoire d'Informatique de Grenoble,UMR 5217,Unité mixte,Saint Martin d'Hères,,"GRENOBLE INP,CNRS,INRIA,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2006,http://www.liglab.fr/
80,public,LIPN,Laboratoire d'Informatique de Paris-Nord,UMR 7030,Unité mixte,VILLETANEUSE,,"PARIS 13,CNRS",Sciences et technologies de l'information et de la communication,2001,https://lipn.univ-paris13.fr/
80,public,LIMOS,"Laboratoire d'Informatique, de Modélisation et d'Optimisation des Systèmes",UMR 6158,Unité mixte,AUBIERE CEDEX,,"ENSM ST-ETIENNE,CNRS,U Clermont Auvergne,Clermont Auvergne INP",Sciences et technologies de l'information et de la communication,2002,http://www.isima.fr/limos/index.htm
80,public,LAAS-CNRS,Laboratoire d'analyse et d'architecture des systèmes,UPR 8001,Unité propre,TOULOUSE CEDEX 4,,"CNRS,INSA TOULOUSE,INP TOULOUSE,TOULOUSE 2,UT Capitole,UT","Sciences pour l'ingénieur,STIC",1967,http://www.laas.fr
80,public,LIRIS,UMR 5205 - LABORATOIRE D'INFORMATIQUE EN IMAGE ET SYSTEMES D'INFORMATION,UMR 5205,Unité mixte,VILLEURBANNE CEDEX,,"EC. CENTRALE LYON,INSA LYON,LYON 1,LYON 2,CNRS",Sciences et technologies de l'information et de la communication,2005,http://liris.cnrs.fr
75,public,,"UMR 9189 - CRISTAL - Centre de Recherche en Informatique, Signal et Automatique de Lille",UMR 9189,Unité mixte,VILLENEUVE D ASCQ CEDEX,,"CLI,CNRS,LILLE,INRIA,MinesTélécom",Sciences et technologies de l'information et de la communication,2015,https://www.cristal.univ-lille.fr/
70,public,SIERRA,Apprentissage Statistique et Parcimonie,,Unité propre,Paris,,INRIA,Sciences et technologies de l'information et de la communication,2011,http://www.inria.fr/equipes/sierra
70,public,CEDRIC,CENTRE D'ETUDES ET DE RECHERCHE EN INFORMATIQUE ET COMMUNICATIONS,EA 4629,Unité propre,PARIS CEDEX 03,,CNAM PARIS,"Mathématiques et leurs interactions,Sciences et technologies de l'information et",1988,http://cedric.cnam.fr/
70,public,LIP6,LIP6,UMR 7606,Unité mixte,PARIS CEDEX 05,,"CNRS,SORBONNE UNIV.",Sciences et technologies de l'information et de la communication,1997,http://www.lip6.fr/
70,public,LMF,Laboratoire Méthodes Formelles,UMR 9021,Unité mixte,GIF-SUR-YVETTE,,"ENS Paris-Saclay,CNRS,U PARIS-SACLAY,INRIA,CENTRALESUPELEC",Sciences et technologies de l'information et de la communication,2021,https://lmf.cnrs.fr/
70,public,VERIMAG,VERIMAG,UMR 5104,Unité mixte,Saint-Martin-d'Hères,,"CNRS,GRENOBLE ALPES,GRENOBLE INP",Sciences et technologies de l'information et de la communication,1999,http://www-verimag.imag.fr/
70,public,VALDA,Value from Data,,Unité propre,,,"ENS PARIS,CNRS,INRIA",Sciences et technologies de l'information et de la communication,2016,
65,public,ELLIADD,"EDITION, LANGAGES, LITTÉRATURES, INFORMATIQUE, ARTS, DIDACTIQUES, DISCOURS",EA 4661,Unité propre,BESANÇON CEDEX,,"UT BELFORT,UMLP","Sciences humaines et humanités,Sciences de la société,Sciences et technologies d",2012,http://elliadd.univ-fcomte.fr/
65,public,GREYC,"Groupe de recherche en Informatique, Image, Automatique et Instrumentation de Caen",UMR 6072,Unité mixte,CAEN CEDEX 5,,"CAEN,ENSI CAEN,CNRS",,2017,https://www.greyc.fr
65,public,IBISC,"Informatique, BioInformatique, Systèmes Complexes",EA 4526,Unité propre,EVRY CEDEX,,"EVRY,U PARIS-SACLAY","Biologie, médecine et santé,Sciences pour l'ingénieur,Sciences et technologies d",2010,https://www.ibisc.fr/
65,public,LIAS,LABORATOIRE D'INFORMATIQUE ET D'AUTOMATIQUE POUR LES SYSTÈMES,EA 6315,Unité mixte,POITIERS CEDEX 9,,"ENSMA POITIERS,UP","Sciences pour l'ingénieur,Sciences et technologies de l'information et de la com",2012,https://www.lias-lab.fr/
65,public,LTCI,Laboratoire Traitement et Communication de l'Information,,Unité propre,Palaiseau,,"TELECOM PARIS,MinesTélécom,IP PARIS",Sciences et technologies de l'information et de la communication,2003,https://www.telecom-paris.fr/fr/recherche/labos/traitement-information-ltci
