count	crunchbase_term	canonical_sector
541	Software	SaaS
288	Information Technology	SaaS
233	SaaS	SaaS
224	Health Care	HealthTech
222	Artificial Intelligence (AI)	Artificial Intelligence
178	Financial Services	FinTech
161	E-Commerce	E-commerce & Retail
147	Biotechnology	BioTech
138	Internet	
131	FinTech	FinTech
124	Manufacturing	Hardware
95	Medical	HealthTech
89	Food and Beverage	FoodTech
80	Machine Learning	Artificial Intelligence
79	Retail	E-commerce & Retail
79	Blockchain	Web3
75	Medical Device	MedTech
73	Analytics	SaaS
72	Mobile Apps	SaaS
70	Real Estate	PropTech
69	Finance	FinTech
66	Consulting	
62	Marketplace	
62	Cyber Security	Cybersecurity
62	Apps	SaaS
60	Cryptocurrency	Web3
60	Fashion	E-commerce & Retail
56	Logistics	Mobility
51	Payments	FinTech
51	Wellness	HealthTech
50	Information Services	SaaS
50	Transportation	Mobility
50	Education	EdTech
49	B2B	SaaS
49	Insurance	InsurTech
48	Energy	Energy
46	Human Resources	SaaS
44	Renewable Energy	CleanTech
40	Automotive	Mobility
39	Gaming	Gaming
37	Sustainability	ClimateTech
37	Robotics	Robotics
36	Agriculture	AgriTech
35	Training	EdTech
35	GreenTech	ClimateTech
34	Pharmaceutical	BioTech
33	InsurTech	InsurTech
33	Big Data	SaaS
32	Supply Chain Management	
32	Life Science	BioTech
32	Service Industry	
31	Sports	SportsTech
31	Rental	
30	CRM	MarTech
30	Enterprise Software	SaaS
30	Marketing	MarTech
29	Web Development	SaaS
28	Advertising	MarTech
28	Recruiting	SaaS
28	Web3	Web3
28	Food Processing	FoodTech
28	Environmental Consulting	ClimateTech
27	Electric Vehicle	Mobility
27	Environmental Engineering	ClimateTech
26	Digital Marketing	MarTech
26	Internet of Things	Hardware
26	Computer	
25	Banking	FinTech
25	Industrial	
25	Farming	AgriTech
25	Aerospace	SpaceTech & Aerospace
25	Therapeutics	BioTech
25	E-Learning	EdTech
25	Online Portals	E-commerce & Retail
24	Electronics	Hardware
24	Travel	TravelTech
24	Mobile	SaaS
24	Construction	PropTech
23	Professional Services	
23	Consumer Goods	E-commerce & Retail
22	Cosmetics	E-commerce & Retail
21	Restaurants	FoodTech
21	Business Intelligence	SaaS
21	CleanTech	CleanTech
21	Fitness	HealthTech
21	EdTech	EdTech
20	Recycling	Recycling
20	Productivity Tools	SaaS
20	AgTech	AgriTech
20	Media and Entertainment	Entertainment
20	Security	
20	Personal Health	
19	Business Development	
19	Social Media	
19	Video Games	Gaming
19	Retail Technology	
18	Open Source	SaaS
18	Accounting	SaaS
18	Solar	CleanTech
18	Sales	SaaS
18	Property Management	PropTech
18	Wine And Spirits	FoodTech
17	Health Insurance	HealthTech
17	Cloud Computing	SaaS
17	Real Estate Investment	
17	Beauty	E-commerce & Retail
16	Consumer Electronics	Hardware
16	Biopharma	BioTech
16	Delivery	Mobility
16	Hospitality	TravelTech
16	Customer Service	SaaS
16	Network Security	Cybersecurity
16	Predictive Analytics	Artificial Intelligence
16	Health Diagnostics	HealthTech
15	Online Games	Gaming
15	Developer APIs	SaaS
15	Wealth Management	FinTech
15	Computer Vision	Artificial Intelligence
14	Semiconductor	DeepTech
14	Cloud Security	SaaS
14	Developer Tools	SaaS
14	Tourism	TravelTech
14	Communities	
14	Shopping	E-commerce & Retail
14	3D Technology	
14	Music	Entertainment
13	Energy Storage	Energy
13	Battery	CleanTech
13	Pet	
13	Waste Management	Recycling
