Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Organization Description,Investor Names,Organization Industries,SIREN
Sorare,"Paris, Ile-de-France, France, Europe",Series B,680000000,USD,2021-09-20,https://sorare.com,"Sorare is a global fantasy football game where players can buy, trade, and play with official digital cards.","Accel, Aldea Ventures, Alexis Ohanian, Antoine Griezmann, Athletico Ventures, Atomico, Benchmark, Bessemer Venture Partners, Blisce, César Azpilicueta, D1 Capital Partners, Eurazeo, Felix Capital, Futury Capital, Gerard Pique, H14, Headline, IVP, Kylian Mbappé, Lionel Messi, LionTree, MCE Group, Rio Ferdinand, SoftBank","Blockchain, Cryptocurrency, Fantasy Sports, Gaming, Soccer",
Mirakl,"Paris, Ile-de-France, France, Europe",Series E,555000000,USD,2021-09-21,http://www.mirakl.com,Mirakl is a SaaS solution that helps enterprises manage their marketplace and drop-ship business.,"83North, Elaia, Felix Capital, Permira, Silver Lake","E-Commerce, Enterprise Software, Marketplace, SaaS",
Contentsquare,"Paris, Ile-de-France, France, Europe",Series E,500000000,USD,2021-05-25,https://contentsquare.com,"Contentsquare is an AI platform that provides product analytics, customer feedback, digital experience analytics, and monitoring services.","BlackRock Private Equity Partners, Bleu Capital, Bpifrance, Canaan Partners, Eurazeo, Highland Europe, Kohlberg Kravis Roberts & Co., SoftBank Vision Fund","Analytics, Artificial Intelligence (AI), CRM, Data Visualization, Digital Marketing, SaaS",
Ledger,"Paris, Ile-de-France, France, Europe",Series C,380000000,USD,2021-06-10,https://www.ledger.com,Ledger provides security and infrastructure solutions to critical digital assets for consumers and institutional investors.,"50T Funds, Alliance Entreprendre, Ambel, Animoca Brands, Ascendant Capital, CapHorn Invest, Cardinal Capital Partners, Cathay Innovation, CITA Investissement, Crédit Agricole Centre Loire, Crypto.com Capital, Cygni Capital, Digital Currency Group, Draper Associates, Draper Dragon, Fabric Ventures, Felix Capital, FirstMark, Global Founders Capital, Groupe Arnault, iAngels, Inherent Group, Korelya Capital, Libertus Capital, MACSF, Marcy Venture Partners, Maze, Molten Ventures, Patrick Amiel, Rosemoor Capital Management, Scott Galloway, Techmind, Tekne Capital, Uphold, Warburg Serres Investments, Wicklow Capital","Cryptocurrency, Cyber Security, Infrastructure, SaaS",
IAD France,"Lieusaint, Ile-de-France, France, Europe",Growth Equity,300000000,EUR,2021-02-19,https://www.iadfrance.fr/,IAD France is a web-based network of independent real estate consultants.,Insight Partners,Real Estate,
ManoMano,"Paris, Ile-de-France, France, Europe",Series F,355000000,USD,2021-07-05,http://www.manomano.fr,"ManoMano is an online marketplace for DIY, home improvement, and gardening products.","Aglaé Ventures, Armat Group, Bpifrance, Dragoneer Investment Group, Eurazeo, General Atlantic, Kismet Capital Group, Temasek Holdings","DIY, E-Commerce, Home and Garden, Home Improvement, Internet, Marketplace",
Back Market,"Paris, Ile-de-France, France, Europe",Series D,276000000,EUR,2021-05-18,https://www.backmarket.com,Back Market is an online marketplace for refurbished electronics.,"Aglaé Ventures, Daphni, Eurazeo, General Atlantic, Generation Investment Management, Goldman Sachs Growth Equity","Consumer Electronics, E-Commerce, Marketplace, Retail, Sustainability",
Eranove,"Paris, Ile-de-France, France, Europe",Growth Equity,250000000,USD,2021-08-07,http://www.eranove.com/en/,Eranove engages in electricity and water production and public service management.,"A.P. Moller Capital, Emerging Capital Partners, Impact Fund Denmark, KFW DEG","Energy, Infrastructure, Renewable Energy, Water",
Alan,"Paris, Ile-de-France, France, Europe",Series D,185000000,EUR,2021-04-19,https://alan.com,Alan provides online digital insurance services that modernizes the way individuals access and manage their healthcare.,"Ambel, Coatue, Dragoneer Investment Group, EXOR N.V., H14, Index Ventures, Ribbit Capital, Temasek Holdings","Financial Services, Health Care, Health Insurance, Insurance",
Shift Technology,"Paris, Ile-de-France, France, Europe",Series D,220000000,USD,2021-05-06,http://www.shift-technology.com/,Shift Technology is a provider of AI-driven decision automation and optimization technology for the global insurance industry.,"Accel, Advent International, Avenir, Bessemer Venture Partners, General Catalyst, IRIS","Artificial Intelligence (AI), Information Technology, Insurance, InsurTech, Machine Learning",
