Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Description,Investor Names,Sectors,SIREN
Institut Merieux,"Lyon, Rhone-Alpes, France, Europe",Private Equity,833000000,EUR,2022-07-01,https://www.institut-merieux.com/en,Institut Merieux is a microbiology company that offers public health based solutions and services.,EXOR N.V.,"Biotechnology, Health Care, Health Diagnostics",
EcoVadis,"Paris, Ile-de-France, France, Europe",Series C,500000000,USD,2022-06-14,http://www.ecovadis.com,EcoVadis offers a collaborative platform that allows companies to assess their suppliers' environmental and social performance.,"Astorg, Beyond Net Zero, General Atlantic, GIC, Princeville Capital","Information Services, Risk Management, Supply Chain Management, Sustainability",
Doctolib,"Paris, Ile-de-France, France, Europe",Series F,500000000,EUR,2022-03-15,http://www.doctolib.fr,Doctolib is an online and mobile booking platform that helps users find doctors and make appointments.,"Bpifrance, Eurazeo, General Atlantic","Health Care, Medical, Mobile Apps, Professional Services",
Qonto,"Paris, Ile-de-France, France, Europe",Series D,486000000,EUR,2022-01-11,https://qonto.com,Qonto is an online bank that provides financial tools for small and medium-sized businesses and freelancers.,"Alkeon Capital, Alven, Anatoly Yakovenko, Ashley Flucas, DST Global, Eurazeo, European Investment Bank, EXOR N.V., Gaingels, Guillaume Pousaz, Insight Partners, Kohlberg Kravis Roberts & Co., TCV, Tencent, Tiger Global Management, Valar Ventures","Banking, Financial Services, FinTech, Payments, Software",
Back Market,"Paris, Ile-de-France, France, Europe",Series E,448400000,EUR,2022-01-11,https://www.backmarket.com,Back Market is an online marketplace for refurbished electronics.,"Aglaé Ventures, Eurazeo, General Atlantic, Generation Investment Management, GS Capital, Sprints","Consumer Electronics, E-Commerce, Marketplace, Retail, Sustainability",
Contentsquare,"Paris, Ile-de-France, France, Europe",Series F,400000000,USD,2022-07-20,https://contentsquare.com,"Contentsquare is an AI platform that provides product analytics, customer feedback, digital experience analytics, and monitoring services.","BlackRock, Bpifrance, Canaan Partners, Eurazeo, Highland Europe, Kohlberg Kravis Roberts & Co., LionTree, Sixth Street, SoftBank Vision Fund","Analytics, Artificial Intelligence (AI), CRM, Data Visualization, Digital Marketing, SaaS",
NW Groupe,"Paris, Ile-de-France, France, Europe",Growth Equity,300000000,EUR,2022-06-29,https://www.nw-groupe.com/,"NW Groupe works in the sectors of renewable energies, electricity storage, and high-power charging for electric mobility.",RGreen Invest,Renewable Energy,
Newcleo,"Paris, Ile-de-France, France, Europe",Series A,300000000,EUR,2022-06-19,https://www.newcleo.com/,Newcleo is an atomic energy company that focuses on developing advanced nuclear energy technologies.,"Banca Patrimoni Sella & C., MACAN","Clean Energy, Energy, Energy Management, Nuclear",
NW Storm,"Paris, Ile-de-France, France, Europe",Series B,300000000,EUR,2022-06-29,https://transition.nw-groupe.fr/en/,NW Storm develops innovative solutions for electricity storage and EV high power charging infrastructure,RGreen Invest,"Charging Infrastructure, Electric Vehicle, Energy Storage",
Exotec,"Pont-du-château, Auvergne, France, Europe",Series D,292980000,EUR,2022-01-17,https://www.exotec.com/,"Exotec offers an innovative order preparation system, based on a fleet of collaborative mobile robots.","360 Capital, 83North, Bpifrance, BREEGA, Dell Technologies Capital, Goldman Sachs Asset Management, IRIS","Logistics, Robotics, Software, Supply Chain Management",
PayFit,"Paris, Ile-de-France, France, Europe",Series E,254000000,EUR,2022-01-05,https://payfit.com,PayFit offers technology that simplifies and automates payroll and HR processes for small and medium-sized businesses.,"Accel, Bpifrance, Eurazeo, General Atlantic","Human Resources, Payments, SaaS, Software",
Verkor,"Grenoble, Rhone-Alpes, France, Europe",Growth Equity,250000000,EUR,2022-11-02,https://www.verkor.com,Verkor manufactures low-carbon batteries to target the electric mobility markets.,"Bpifrance, Demeter, European Investment Bank, Groupe IDEC","Battery, Electronics, Industrial, Manufacturing",
Ankorstore,"Paris, Ile-de-France, France, Europe",Series C,250000000,EUR,2022-01-09,https://www.ankorstore.com,Ankorstore is a wholesale marketplace that connects independent shop owners and specialist brands with neighborhood retailers.,"Aglaé Ventures, Alven, Bain Capital Ventures, Bond, Coatue, Eurazeo, Global Founders Capital, Index Ventures, Tiger Global Management","B2B, E-Commerce, Marketplace, Retail, Wholesale",
InnovaFeed,"Paris, Ile-de-France, France, Europe",Series D,250000000,EUR,2022-09-20,http://innovafeed.com,InnovaFeed is a biotech company that produces insect-based protein for the feed industry.,"ABC Impact, ADM Ventures, Cargill, Creadev, Future French Champions, Grow Forward, IDIA Capital Investissement, Qatar Investment Authority, Temasek Holdings","Agriculture, Alternative Protein, Animal Feed, Biotechnology, Farming",
HR Path,"Paris, Ile-de-France, France, Europe",Growth Equity,225000000,EUR,2022-05-11,http://www.hr-path.com/en,HR Path is a human resource company that provides human capital management technology services.,"Andera Partners, Banque Palatine, BNP Paribas, Caisse d'Epargne Ile-de-France, Crédit Agricole Private Bank, LCL, Societe Generale Capital Partners","Consulting, Human Resources, Outsourcing",
Alan,"Paris, Ile-de-France, France, Europe",Series E,183000000,EUR,2022-05-04,https://alan.com,Alan provides online digital insurance services that modernizes the way individuals access and manage their healthcare.,"Coatue, Dragoneer Investment Group, EXOR N.V., Index Ventures, Lakestar, Origins Fund, Ribbit Capital, Teachers’ Venture Growth, Teampact ventures, Temasek Holdings","Financial Services, Health Care, Health Insurance, Insurance",
Electra,"Paris, Ile-de-France, France, Europe",Series A,160000000,EUR,2022-06-30,https://www.go-electra.com,Electra is an electric vehicle charging company that specializes in deploying and operating charging points for electric vehicles.,"574 Invest, Eurazeo, Groupe Chopard, RATP Group, RGreen Invest, Rive Private Investment, Serena, SNCF","Automotive, Charging Infrastructure, Electric Vehicle, Renewable Energy",
SanteVet,"Lyon, Rhone-Alpes, France, Europe",Growth Equity,150000000,EUR,2022-02-17,http://www.santevet.com/,Santévet Group specializes in pet health insurance that provides an accessible array of products designed for every pet owner.,Columna Capital,"Health Care, Health Insurance, Pet, Veterinary",
Deepki,"Paris, Ile-de-France, France, Europe",Series C,150000000,EUR,2022-03-30,http://deepki.com/,"SaaS, Sustainability, Real Estate","Bpifrance, Highland Europe, Hi Inov - Dentressangle, One Peak, Revaia, Robin Haak, Statkraft Ventures","Analytics, Energy Efficiency, Information Technology, Real Estate",
Paprec Group,"La Courneuve, Ile-de-France, France, Europe",,150000000,EUR,2022-01-07,https://www.paprec.com/fr,Paprec Group is an environmental service company for recycling and waste management ventures.,FOR TALENTS,"Commercial, Recycling, Waste Management",
Akeneo,"Nantes, Pays de la Loire, France, Europe",Series D,135000000,USD,2022-03-15,http://www.akeneo.com,Akeneo is a global leader in Product Experience Management (PXM) solutions.,"Alven, Partech, Summit Partners","Cloud Management, Enterprise Software, Information Technology, SaaS",
Upsun,"Paris, Ile-de-France, France, Europe",Series D,133000000,EUR,2022-06-20,https://upsun.com/,"Upsun provides tools to build, deploy, and manage web applications on a scalable cloud platform.","Benhamou Global Ventures, Eurazeo, Hi Inov - Dentressangle, Morgan Stanley Expansion Capital, Partech, Revaia, Yttrium","Cloud Management, Internet, Open Source, PaaS, Software",
DiliTrust,"La Défense, Ile-de-France, France, Europe",Growth Equity,130000000,EUR,2022-03-18,https://www.dilitrust.com/,"DiliTrust is an AI-native legal tech company that provides a unified governance platform for contract, board, entity, and legal operations.","Cathay Capital, Eurazeo, Sagard","Information Technology, Legal Tech, SaaS, Software",
Clubfunding,"Paris, Ile-de-France, France, Europe",Growth Equity,125000000,EUR,2022-09-22,https://www.clubfunding.fr,"Clubfunding is a crowdfunding platform that provides investors, individuals and institutions, bonds issued by French SMEs.","Bpifrance, EMZ Partners, Florac, Peninsula Capital","Finance, Financial Services, Trading Platform",
Flying Whales,"Suresnes, Ile-de-France, France, Europe",Series B,122000000,EUR,2022-07-08,http://flying-whales.com/,Flying Whales connecting the land-locked world to the global economy,"Air Liquide Ventures, Bpifrance, Gouvernement Monaco, Groupe ADP, Investissement Quebec, Société Générale Assurances",Aerospace,
Descartes Underwriting,"Paris, Ile-de-France, France, Europe",Series B,120000000,USD,2022-01-31,https://descartesunderwriting.com,Descartes Underwriting is an insurtech company that specializes in climate risk modeling and data-driven risk transfer.,"Alma Mundi Ventures, BlackFin Capital Partners, Cathay Innovation, Eurazeo, Highland Europe, Seaya, Serena","FinTech, Insurance, InsurTech, Risk Management",
Alma,"Neuilly-sur-seine, Ile-de-France, France, Europe",Series C,115000000,EUR,2022-02-10,https://www.getalma.eu/,Alma is a provider of installment-based payments through a large merchant network.,"Bpifrance, Cathay Innovation, Eurazeo, GR Capital, Motier Ventures, Picus Capital, Roosh Ventures, Seaya, Tencent","Financial Services, Payments, Transaction Processing",
Sarbacane Software,"Hem, Nord-Pas-de-Calais, France, Europe",Private Equity,110000000,USD,2022-11-08,https://www.sarbacane.com,"Sarbacane Software is a martech company offering email marketing, SMS marketing, and automation services.","CIC Nord Ouest, EMZ Partners","Advertising, Contact Management, Digital Marketing, Email Marketing, Information Technology",
Daher,"Paray-vieille-poste, Ile-de-France, France, Europe",Private Equity,105000000,EUR,2022-05-11,https://www.daher.com/,Daher is an aircraft manufacturer and an industry and service equipment supplier.,,"Aerospace, Manufacturing",
