Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Accenta,https://www.accenta.ai/,Growth Equity,,106114471.5,2023-09-14,,"Palaiseau, Ile-de-France, France, Europe","Credit Mutuel Alliance Federale, EREN Groupe",Other
ChapsVision,https://www.chapsvision.fr/,Growth Equity,,87823119.92,2023-09-28,,"Suresnes, Ile-de-France, France, Europe","Bpifrance, GENEO Capital Entrepreneur, Qualium Investissement, Tikehau Capital",Other
Drouot,http://www.drouot.com,Growth Equity,,70937741.13,2023-07-07,,Paris,"Groupe Chevrillon, Vesper Investment",Other
Etix Everywhere,http://www.etixeverywhere.com/,Growth Equity,809711856,30000000,2023-02-15,,Saint-Herblain,Eurazeo,Other
N2F,https://www.n2f.com/expense-report,Growth Equity,,23695225.42,2023-03-06,,"Péronnas, Rhone-Alpes, France, Europe",PSG Equity,Other
FAGUO,http://www.faguo-shoes.com,Growth Equity,,14708462.68,2023-03-16,,Paris,NextStage AM,E-commerce & Retail
Kalima Blockchain,https://www.kalima.io/,Growth Equity,,9238728.75,2023-07-18,,Paris,ABO Digital,"Artificial Intelligence, Web3, Hardware"
Preligens,http://preligens.com/,Growth Equity,818503146,15000000,2023-03-18,,Paris,Wendel,"Artificial Intelligence, DefenseTech, Cybersecurity"
e-Totem,https://www.e-totem.fr/,Growth Equity,,,2023-03-13,,"Saint Etienne, Rhone-Alpes, France, Europe","Bpifrance, Conquest","Energy, Mobility"
Armen,https://armen.eu/fr,Growth Equity,,,2023-03-28,,Paris,"Allegoria Capital, Dassault Group, Issarts Capital",FinTech
e Attestations,http://www.e-attestations.com,Growth Equity,,,2023-07-25,,"Massy, Ile-de-France, France, Europe",Keensight Capital,Other
LinXea,https://www.linxea.com,Growth Equity,,,2023-05-31,,Paris,IK Partners,InsurTech
Theradial,https://www.theradial.com/,Growth Equity,,,2023-02-08,,"Orvault, Pays de la Loire, France, Europe",Ardian,"HealthTech, MedTech, Hardware"
Travelsoft,http://www.travelsoft.fr,Growth Equity,821429792,,2023-10-04,,Paris,CAPZA,TravelTech
